"Name","rivals","attacker","attacker_is_nato","victim","victim_is_nato","3rdpartyinitiator","interactionstartdate","interactionenddate","Year","duration_days","period_2016","method","targettype","cyber_objective","information_operation","objective_achievement","Concession","severity","damage type","Crit Inf","Supply Ch","Ransomware","Sources1","Sources2","Sources3","Sources4","Sources5","Political Objective","Justice","Cert","FBI"
"Operation Pawn Storm/World Doping Agency","Russia-US","Russia","No","United States of America","Yes","No",2013-09-30,2014-10-22,2013,387,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","Yes","Yes","No",4,"Direct and delayed","Government Facilities Sector","No","No","https://www.trendmicro.com/vinfo/us/security/news/cyber-attacks/operation-pawn-storm-fast-facts","https://blog.trendmicro.com/trendlabs-security-intelligence/tag/operation-pawn-storm/",NA,NA,NA,"Trojan campaign against Blackwater, State Dept, and SAIC",NA,NA,NA
"CyberBerkut NATO Websites_A","Russia-US","Russia","No","United States of America","Yes","No",2014-03-15,2014-03-26,2014,11,"Before July 2016","DDoS, Botnets","Government military","Disruption","Yes","Yes","No",2,"Direct and immediate","Government Facilities Sector","No","No","https://www.reuters.com/article/us-ukraine-nato/nato-websites-hit-in-cyber-attack-linked-to-crimea-tension-idUSBREA2E0T320140316","https://www.ft.com/content/b822d5cc-ace6-11e3-8ba3-00144feab7de",NA,NA,NA,"Signal NATO members to avoid intervention in Ukraine",NA,NA,NA
"Operation Pawn Storm: military networks (fake OWA)","Russia-US","Russia","No","United States of America","Yes","No",2014-06-02,2015-02-01,2014,244,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government military","Short-term espionage","Yes","Yes","No",4,"Direct and delayed","Defense Industrial Base Sector","Yes","No","https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/","https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx",NA,NA,NA,"Backdoor intrusion in to military networks via spear phishing",NA,NA,NA
"Operation Pawn Storm: Nuclear power plants, newspapers","Russia-US","Russia","No","United States of America","Yes","No",2014-06-03,2014-12-01,2014,181,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","Yes","Yes","No",4,"Direct and delayed","Communications Sector","No","No","https://blog.trendmicro.com/trendlabs-security-intelligence/update-pawn-storm-new-targets-politically-motivated-campaigns/","https://fcw.com/articles/2017/04/25/critical-trendmicro-pawn-storm.aspx","https://www.computerworld.com/article/2837824/cyberespionage-group-goes-phishing-for-outlook-web-app-users.ht",NA,NA,"Backdoor intrusion in to several commercial networks via spear phishing",NA,NA,NA
"US Banks hacked","Russia-US","Russia","No","United States of America","Yes","No",2014-06-04,2014-07-08,2014,34,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Disruption","No","No","No",3,"Direct and delayed","Financial Services Sector","No","No","https://www.americanbanker.com/articles/us-banks-caught-up-in-hacking-scheme-tied-to-russians","https://www.nytimes.com/2014/08/28/technology/hackers-target-banks-including-jpmorgan.html",NA,NA,NA,"Seen as a retaliation on US targeted sanctions on Russians over the Ukraine conflcit",NA,NA,NA
"White House hack","Russia-US","Russia","No","United States of America","Yes","No",2014-10-26,2014-10-28,2014,2,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","No","Yes","No",3,"Direct and delayed","Government Facilities Sector","No","No","https://www.washingtonpost.com/world/national-security/hackers-breach-some-white-house-computers/2014/10/28/2ddf2fa0-5ef7-11e4-91f7-5d89b5e8c251_story.html?utm_term=.0195817c8032","https://www.nytimes.com/2015/04/26/us/russian-hackers-read-obamas-unclassified-emails-officials-say.html",NA,NA,NA,"White House email server compromised, inclduing President Obama's",NA,NA,NA
"State Dept hack","Russia-US","Russia","No","United States of America","Yes","No",2014-11-15,2014-11-17,2014,2,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","No","No","No",3,"Direct and delayed","Government Facilities Sector","No","No","https://www.washingtonpost.com/world/national-security/new-details-emerge-about-2014-russian-hack-of-the-state-department-it-was-hand-to-hand-combat/2017/04/03/d89168e0-124c-11e7-833c-503e1f6394c9_story.html?utm_term=.d19a9fb4a985","https://arstechnica.com/tech-policy/2017/04/russias-hack-of-state-department-was-hand-to-hand-combat/",NA,NA,NA,"State Dept unclassified email system breached and contained",NA,NA,NA
"Yahoo breach 1","Russia-US","Russia","No","United States of America","Yes","No",2014-11-22,2016-09-22,2014,670,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Long-term espionage","No","Yes","No",3,"Direct and delayed","Information Technology Sector","Yes","No","https://www.nytimes.com/2016/09/23/technology/yahoo-hackers.html","https://slate.com/technology/2016/09/yahoo-hack-in-2014-exposed-500-million-user-credentials-company-confirms.html",NA,NA,NA,"500 million Yahoo users' PII stolen by Russian hacking group",NA,NA,NA
"DoD breach","Russia-US","Russia","No","United States of America","Yes","No",2015-03-01,2015-03-15,2015,14,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government military","Long-term espionage","No","No","No",3,"Direct and delayed","Government Facilities Sector","Yes","No","https://www.washingtonpost.com/world/national-security/us-suspects-russia-in-hack-of-pentagon-computer-network/2015/08/06/b80e1644-3c7a-11e5-9c2d-ed991d848c48_story.html?utm_term=.d58a36d9a267","https://www.usatoday.com/story/news/nation/2015/08/06/russia-reportedly-hacks-pentagon-email-system/31228625/",NA,NA,NA,"Attempt a breaching DoD unlcassified networks",NA,NA,NA
"2016 Presidential Election/Russia_1","Russia-US","Russia","No","United States of America","Yes","No",2015-06-15,2016-11-08,2015,512,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","Yes","Yes","No",4,"Direct and immediate","Government Facilities Sector","Yes","No","https://www.wired.com/story/dnc-lawsuit-reveals-key-details-2016-hack/","https://www.symantec.com/blogs/election-security/election-hacking-faq",NA,NA,NA,"FSB/APT 29 hacks DNC and RNC and releases compromising information on the Democrats via Wikileaks and social media",NA,NA,NA
"JCS network breach","Russia-US","Russia","No","United States of America","Yes","No",2015-06-26,2015-06-28,2015,2,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government military","Long-term espionage","No","Yes","No",3,"Direct and delayed","Government Facilities Sector","No","No","https://www.thedailybeast.com/pentagon-hack-most-sophisticated-ever","https://www.cnn.com/2015/08/05/politics/joint-staff-email-hack-vulnerability/index.html",NA,NA,NA,"Breach of unclassified network of Joint Chiefs of Staff, system taken offline to stop spread",NA,NA,NA
"ProjectSauron_A","Russia-US","United States of America","Yes","Russia","No","No",2015-09-02,2016-08-09,2015,342,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Long-term espionage","No","Yes","No",3,"Direct and delayed","Communications Sector","No","No","https://arstechnica.com/information-technology/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/","https://www.bbc.com/news/technology-37021957",NA,NA,NA,"Publically available sources claim that APT targets and steals information from finance and telecoms",NA,NA,NA
"ProjectSauron_B","Russia-US","United States of America","Yes","Russia","No","No",2015-09-02,2016-08-09,2015,342,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government military","Long-term espionage","No","Yes","No",3,"Direct and delayed","Government Facilities Sector","No","No","https://arstechnica.com/information-technology/2016/08/researchers-crack-open-unusually-advanced-malware-that-hid-for-5-years/","https://www.bbc.com/news/technology-37021957",NA,NA,NA,"Publically available sources claim that APT targets and steals information from military networks",NA,NA,NA
"2016 Presidential Election/Russia_2","Russia-US","Russia","No","United States of America","Yes","No",2016-04-03,2016-11-08,2016,219,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","Yes","Yes","No",4,"Direct and immediate","Government Facilities Sector","No","No","https://www.nytimes.com/2016/12/13/us/politics/russia-hack-election-dnc.html, https://www.fireeye.com/content/dam/fireeye-www/solutions/pdfs/st-senate-intel-committee-russia-election.pdf",NA,NA,NA,NA,"GRU/APT 28 hacks DNC, DCCC, and John Podesta and releases compromising information to Wikileaks and social media",NA,NA,NA
"World Doping Agency Hacks","Russia-US","Russia","No","United States of America","Yes","No",2016-09-16,2018-05-01,2016,592,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","Yes","Yes","No",3,"Direct and delayed","Government Facilities Sector","No","No","https://www.secureworldexpo.com/industry-news/how-russia-hacked-anti-doping-agencies","https://www.nytimes.com/2019/10/28/sports/olympics/russia-doping-wada-hacked.html","https://blogs.microsoft.com/on-the-issues/2019/10/28/cyberattacks-sporting-anti-doping/",NA,NA,"linked to the Westinghouse Electric Corporation Chemical Weapons, and incident in Hague","https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and",NA,NA
"PowerDuke/APT29","Russia-US","Russia","No","United States of America","Yes","No",2016-11-08,2016-11-10,2016,2,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",2,"Direct and immediate","Other (Election Infrastructure, Academia)","No","No","https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/, https://techcrunch.com/2016/11/14/russian-hacking-team-the-dukes-targeting-ngos-and-think-tanks-after-trump-victory/",NA,NA,NA,NA,"CozyBear group launches massive spear phishing campaign agains US think tanks hours after election",NA,NA,NA
"Think Tank Hack","Russia-US","Russia","No","United States of America","Yes","No",2016-11-08,2016-11-10,2016,2,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",2,"Direct and immediate","Other (Election Infrastructure, Academia)","No","No","https://www.volexity.com/blog/2016/11/09/powerduke-post-election-spear-phishing-campaigns-targeting-think-tanks-and-ngos/","https://www.rand.org/pubs/research_reports/RRA382-1.html","https://krebsonsecurity.com/2016/11/russian-dukes-of-hackers-pounce-on-trump-win/","https://www.cfr.org/cyber-operations/attempted-compromise-us-think-tanks","https://techcrunch.com/2016/11/14/russian-hacking-team-the-dukes-targeting-ngos-and-think-tanks-after-trump-victory/","CozyBear spear phishing against US think tanks after election",NA,NA,NA
"Attack on DoD Officals","Russia-US","Russia","No","United States of America","Yes","No",2017-03-01,2017-03-15,2017,14,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",2,"Direct and delayed","Government Facilities Sector","No","No","https://www.theverge.com/2017/5/18/15658300/russia-hacking-twitter-bots-pentagon-putin-election","https://time.com/4783932/inside-russia-social-media-war-america/",NA,NA,NA,"attempt to breach US DoD accounts",NA,NA,NA
"Wolf Creek Phishing","Russia-US","Russia","No","United States of America","Yes","No",2017-05-01,2017-07-01,2017,61,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Degrade","No","Yes","No",5,"Direct and delayed","Energy Sector","Yes","No","https://www.bbc.com/news/world-us-canada-40538061","https://www.nytimes.com/2017/07/06/technology/nuclear-plant-hack-report.html","https://www.wired.com/story/hack-brief-us-nuclear-power-breach/",NA,NA,"Attempt to breach (Wolf Creek) network and energy plants",NA,NA,NA
"NotPetya_B","Russia-US","Russia","No","United States of America","Yes","No",2017-06-01,2018-07-01,2017,395,"After July 2016","Network Infiltration (Worms)","Government non-military","Degrade","No","Yes","No",4,"Indirect and delayed","Transportation Systems Sector","Yes","No","https://www.wired.com/story/notpetya-cyberattack-ukraine-russia-code-crashed-the-world/","https://www.zdnet.com/article/blaming-russia-for-notpetya-was-coordinated-diplomatic-action/",NA,NA,NA,"NotPetya world wide breach of industry","https://www.justice.gov/opa/pr/six-russian-gru-officers-charged-connection-worldwide-deployment-destructive-malware-and",NA,NA
"US Senator Hacking Attempt","Russia-US","Russia","No","United States of America","Yes","No",2017-08-01,2018-07-01,2017,334,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","No","No","No",1,"Direct and delayed","Government Facilities Sector","No","No","https://www.npr.org/2018/07/26/632890327/russians-unsuccessfully-tried-to-hack-computers-of-democratic-sen-claire-mccaski",NA,NA,NA,NA,"Election meddling",NA,NA,NA
"Neptun (PHI)","Russia-US","Russia","No","United States of America","Yes","No",2018-01-01,2019-06-20,2018,535,"After July 2016","Network Infiltration (Keystroke logging)","Government non-military","Long-term espionage","No","Yes","No",1,"Direct and immediate","Government Facilities Sector","No","No","https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments","https://www.cybersecurity-review.com/tag/waterbug/",NA,NA,NA,"Neptun passive sniffer looking for admin commands",NA,NA,NA
"ShellRunner (PHIII)","Russia-US","Russia","No","United States of America","Yes","No",2018-01-01,2019-06-20,2018,535,"After July 2016","Network Infiltration (Viruses)","Government non-military","Long-term espionage","No","Yes","No",4,"Indirect and delayed","Government Facilities Sector","No","No","https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments","https://www.cybersecurity-review.com/tag/waterbug/",NA,NA,NA,"ShellRunner backdoor",NA,NA,NA
"Meterpreter (PHII)","Russia-US","Russia","No","United States of America","Yes","No",2018-01-01,2019-06-20,2018,535,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Long-term espionage","No","Yes","No",4,"Indirect and delayed","Government Facilities Sector","No","No","https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/waterbug-espionage-governments","https://www.cybersecurity-review.com/tag/waterbug/",NA,NA,NA,"Meterpreter backdoor to install spyware",NA,NA,NA
"Senate Domain Attack","Russia-US","Russia","No","United States of America","Yes","No",2018-08-15,2018-08-22,2018,7,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","No","No","No",2,"Direct and delayed","Government Facilities Sector","No","No","https://www.cnn.com/2018/08/21/politics/microsoft-russia-american-politicians","https://blogs.microsoft.com/on-the-issues/2018/08/20/we-are-taking-new-steps-against-broadening-threats-to-democracy/",NA,NA,NA,"Attempt to breach US Senate network",NA,NA,NA
"Senate Domain Attack-Think Tanks","Russia-US","Russia","No","United States of America","Yes","No",2018-08-15,2018-08-22,2018,7,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",2,"Direct and delayed","Other (Election Infrastructure, Academia)","No","No","https://www.cnn.com/2018/08/21/politics/microsoft-russia-american-politicians","https://blogs.microsoft.com/on-the-issues/2018/08/20/we-are-taking-new-steps-against-broadening-threats-to-democracy/",NA,NA,NA,"Attempt to breach US Conservative think tanks network",NA,NA,NA
"Grid warning","Russia-US","United States of America","Yes","Russia","No","No",2018-09-01,2019-06-01,2018,273,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Disruption","Yes","Yes","No",5,"Direct and delayed","Energy Sector","No","No","https://www.lawfareblog.com/us-cyber-command-and-russian-grid-proportional-countermeasures-statutory-authorities-and","https://www.nytimes.com/2019/06/15/us/politics/trump-cyber-russia-grid.html",NA,NA,NA,"Publically available sources claim US could retaliate against Russia",NA,NA,NA
"IRA wiper","Russia-US","United States of America","Yes","Russia","No","No",2018-11-01,2018-12-01,2018,30,"After July 2016","Network Infiltration (Logic bombs)","Government non-military","Degrade","Yes","Yes","No",4,"Direct and immediate","Government Facilities Sector","Yes","No","https://www.washingtonpost.com/world/national-security/us-cyber-command-operation-disrupted-internet-access-of-russian-troll-factory-on-day-of-2018-midterms/2019/02/26/1827fc9e-36d6-11e9-af5b-b51b7ff322e9_story.html, https://www.wired.com/story/cyber-command-ira-strike-sends-signal/, https://www.nytimes.com/2018/10/23/us/politics/russian-hacking-usa-cyber-command.html",NA,NA,NA,NA,"Publically available sources claim that CYBERCOM Wipes data from Servers at IRA Troll farm",NA,NA,NA
"DoS Impersonation Hack","Russia-US","Russia","No","United States of America","Yes","No",2018-11-01,2018-11-16,2018,15,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Short-term espionage","No","Yes","No",4,"Direct and immediate","Other (Election Infrastructure, Academia)","No","No","https://www.reuters.com/article/us-usa-cyber-russia/russians-impersonating-u-s-state-department-aide-in-hacking-campaign-researchers-idUSKCN1NL2BG","https://www.forbes.com/sites/robertolsen/2018/11/20/russian-hackers-said-to-be-impersonating-u-s-state-dept-with-phishing-campaign/?sh=2349f74c6608","https://apnews.com/article/24a49d39b9e74738a61312052436f5c4",NA,NA,"State dept employee impersonation to get privileged access",NA,NA,NA
"2018 DNC Attack","Russia-US","Russia","No","United States of America","Yes","No",2018-11-14,2018-12-01,2018,17,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",2,"Direct and delayed","Government Facilities Sector","No","No","https://abcnews.go.com/Politics/dnc-alleges-targeted-phishing-attack-midterms-part-ongoing/story?id=60456187",NA,NA,NA,NA,"DNC phished, unsuccessful",NA,NA,NA
"CSIS Domain Clone","Russia-US","Russia","No","United States of America","Yes","No",2019-01-31,2019-02-28,2019,28,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Short-term espionage","No","No","No",1,"Direct and immediate","Other (Election Infrastructure, Academia)","No","No","https://www.cnn.com/2019/01/30/politics/fancy-bear-microsoft-csis-think-tank :  https://www.newsweek.com/russian-military-intelligence-hackers-dnc-washington-1313036",NA,NA,NA,NA,"Fancy Bear attempted on CSIC, court Microsoft control of a group of websites",NA,NA,NA
"Exim Transfer Agent Exploit","Russia-US","Russia","No","United States of America","Yes","No",2019-08-01,2020-06-01,2019,305,"After July 2016","Network Infiltration (Worms)","Private/non-state","Long-term espionage","Yes","Yes","No",3,"Direct and delayed","Information Technology Sector","Yes","No","https://www.wired.com/story/nsa-sandworm-exim-mail-server-warning/",NA,NA,NA,NA,"NSA Exposes software flaw Exim",NA,"https://us-cert.cisa.gov/ncas/current-activity/2020/05/28/nsa-releases-advisory-sandworm-actors-exploiting-exim",NA
"SUNBURST","Russia-US","Russia","No","United States of America","Yes","No",2019-09-04,2020-12-17,2019,470,"After July 2016","Network Infiltration (Worms)","Private/non-state","Long-term espionage","No","Yes","Yes",4,"Direct and delayed","Information Technology Sector","Yes","No","https://www.nytimes.com/2021/02/23/us/politics/solarwinds-hack-senate-intelligence-russia.html","https://www.wired.com/story/russia-solarwinds-hack-roundup/","https://www.lawfareblog.com/solarwinds-breach-why-your-work-computers-are-down-today","https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html","https://www.csoonline.com/article/3613571/the-solarwinds-hack-timeline-who-knew-what-and-when.html","SolarWinds breach",NA,NA,NA
"ZeroLogon Aviation Attacks","Russia-US","Russia","No","United States of America","Yes","No",2020-02-01,2020-10-01,2020,243,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Long-term espionage","No","Yes","No",4,"Indirect and delayed","Transportation Systems Sector","No","No","https://www.zdnet.com/article/fbi-cisa-russian-hackers-breached-us-government-networks-exfiltrated-data/",NA,NA,NA,NA,"Targeting Citirix Gateways and Exchange Servers with ZeroLogon Vulnerability",NA,"https://us-cert.cisa.gov/ncas/alerts/aa20-296a",NA
"ZeroLogon SLTT Attacks","Russia-US","Russia","No","United States of America","Yes","No",2020-02-01,2020-10-01,2020,243,"After July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Long-term espionage","No","Yes","No",4,"Indirect and delayed","Information Technology Sector","No","No","https://www.zdnet.com/article/fbi-cisa-russian-hackers-breached-us-government-networks-exfiltrated-data/",NA,NA,NA,NA,"Targeting Citirix Gateways and Exchange Servers with ZeroLogon Vulnerability",NA,"https://us-cert.cisa.gov/ncas/alerts/aa20-296a",NA
"WellMess COVID Attacks","Russia-US","Russia","No","United States of America","Yes","No",2020-04-01,2020-07-16,2020,106,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Long-term espionage","No","No","No",4,"Direct and delayed","Healthcare and Public Health Sector","No","No","https://www.securitymagazine.com/articles/92870-apt29-targets-covid-19-vaccine-development","https://media.defense.gov/2020/Jul/16/2002457639/-1/-1/0/NCSC_APT29_ADVISORY-QUAD-OFFICIAL-20200709-1810.PDF",NA,NA,"Linked to two other incidnets; Russian attacks against US, Canada, and UK","Attempted access to COVID vaccine data",NA,NA,NA
"COVID disruption_Russia","Russia-US","Russia","No","United States of America","Yes","No",2020-05-01,2020-11-01,2020,184,"After July 2016","Network Intrusion (Trojans, Backdoors)","Private/non-state","Disruption","No","Yes","No",2,"Direct and immediate","Healthcare and Public Health Sector","No","No","https://techcrunch.com/2020/11/13/microsoft-russia-north-korea-hackers-coronavirus-vaccine/","https://blogs.microsoft.com/on-the-issues/2020/11/13/health-care-cyberattacks-covid-19-paris-peace-forum/?2020-11-12","https://www.wsj.com/articles/covid-19-vaccine-makers-face-russian-north-korean-cyberattacks-microsoft-says-11605276003",NA,NA,"Attempted access to COVID vaccine data",NA,NA,NA
"Stuxnet .5_A","Iran-US","United States of America","Yes","Iran","No","Yes",2007-11-01,2010-06-01,2007,943,"Before July 2016","Network Infiltration (Worms)","Government military","Long-term espionage","No","Yes","No",3,"Direct and delayed","Nuclear Reactors, Materials, and Waste Sector","Yes","No","https://www.symantec.com/connect/blogs/stuxnet-05-disrupting-uranium-processing-natanz",NA,NA,NA,NA,"Publically available sources claim that Intrusion in the Natanz plant gathering vulnerablity information",NA,NA,NA
"Snowglobe","Iran-US","United States of America","Yes","Iran","No","Yes",2008-04-02,2011-12-01,2008,1338,"Before July 2016","Network Intrusion (Trojans, Backdoors)","Government non-military","Long-term espionage","No","No","No",4,"Direct and delayed","Other (Election Infrastructure, Academia)","Yes","No","https://www.cybereason.com/blog/operation-snowglobe, https://resources.infosecinstitute.com/topic/animal-farm-apt-and-the-shadow-of-france-intelligence/, https://www.eff.org/files/2015/01/28/20150117-spiegel-nsa_example_snowglobe_in_which_a_suspected_french_government_trojan_is_analyzed_to_find_out_if_it_can_be_helpful_for_own_interests_0.pdf",NA,NA,NA,NA,"Publically available sources claim that NSA targets several high profile targets in Iran, including the foreign ministry, the Atomic Energy Organization of Iran, and several universities conducting nuclear research",NA,NA,NA
